# Wordlist

# META
@vowels:T V _

# DATA
ID	﻿ID	CONCEPT	TOKENS	DOCULECT	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CUSTOMID	ALIGNMENT
451	451	Six	ono	Fijian	1	7	X	U	1	1.U.V	1.5	ono	0	43	ono
#
224	224	Ten	ngahuru	Maori	5	4	A	N	2	2.N.C	2.0	ngahuru	0	45	ngahuru
225	225	Ten	hangahuru	Maori	5	3	A	H	2	2.H.C	2.0	hangahuru	0	44	hangahuru
226	226	Ten	tekau	Maori	30?	1	A	T	2	2.T.C	2.0	tekau	0	47	tekau
455	455	Ten	sagavulu	Fijian	5	3	A	S	1	1.S.C	2.0	sagavulu	0	44	sagavulu
#
217	217	Three	toru	Maori	1	1	A	T	2	2.T.C	2.0	toru	0	48	- toru
448	448	Three	e tolu	Fijian	1	7 1	XN	ET	1	1.E.V 1.T.c	1.5 0.8	etolu	0	48	e tolu
#
227	227	Twenty	rua tekau	Maori	"3,4"	5 1	AN	RT	2	2.R.C 2.T.c	2.0 0.8	ruatekau	0	49	rua tekau
456	456	Twenty	rua-sagavulu	Fijian	"3,6"	5	A	R	1	1.R.C	2.0	rua-sagavulu	0	49	rua-sagavulu -
#
216	216	Two	rua	Maori	1	5	A	R	2	2.R.C	2.0	rua	0	50	- rua
447	447	Two	e rua	Fijian	1	7 5	XN	ER	1	1.E.V 1.R.c	1.5 0.8	erua	0	50	e rua
#
186	186	above	i runga	Maori	9	7 5	XN	IR	2	2.I.V 2.R.c	1.5 0.8	irunga	0	52	i runga
418	418	above	e cake	Fijian	25	7 1	XN	EC	1	1.E.V 1.C.c	1.5 0.8	ecake	0	51	e cake
#
208	208	all	katoa	Maori	13	1	A	K	2	2.K.C	2.0	katoa	0	53	katoa
438	438	all	kece	Fijian	48	1	A	K	1	1.K.C	2.0	kece	0	53	kece
#
209	209	and	me	Maori	"2, 46"	4	A	M	2	2.M.C	2.0	me	0	55	me
210	210	and	hoki	Maori		3	A	H	2	2.H.C	2.0	hoki	0	57	hoki
439	439	and	kei	Fijian	1	1	A	K	1	1.K.C	2.0	kei	0	54	kei
440	440	and	ka	Fijian	1	1	A	K	1	1.K.C	2.0	ka	0	54	ka
#
153	153	ash	pungarehu	Maori	67	1	A	P	2	2.P.C	2.0	pungarehu	0	59	pungarehu
388	388	ash	dravu	Fijian	67	1	A	T	1	1.T.C	2.0	dravu	0	58	dravu
#
182	182	at	i	Maori	1	7	X	I	2	2.I.V	1.5	i	0	60	i
183	183	at	kei	Maori	5	1	A	K	2	2.K.C	2.0	kei	0	62	kei
184	184	at	hei	Maori	5	3	A	H	2	2.H.C	2.0	hei	0	63	hei
416	416	at	e	Fijian	1	7	X	E	1	1.E.V	1.5	e	0	60	e
#
15	15	back	tuaraa	Maori	11	1	A	T	2	2.T.C	2.0	tuaraa	0	64	tuaraa
243	243	back	daku-na	Fijian	12	1	A	T	1	1.T.C	2.0	daku-na	0	64	daku-na
#
16	16	belly	puku	Maori		1	A	P	2	2.P.C	2.0	puku	0	66	puku
244	244	belly	kete-na	Fijian	7	1	A	K	1	1.K.C	2.0	kete-na	0	65	kete-na
#
187	187	below	i raro	Maori	8	7 5	XN	IR	2	2.I.V 2.R.c	1.5 0.8	iraro	0	67	i raro
419	419	below	e rÄ	Fijian	8	7 5	XN	ER	1	1.E.V 1.R.c	1.5 0.8	erÄ	0	67	e rÄ
#
160	160	big	nui	Maori	11	4	A	N	2	2.N.C	2.0	nui	0	69	nui
395	395	big	levu	Fijian	10	5	A	L	1	1.L.C	2.0	levu	0	68	levu
#
99	99	bird	manu	Maori	1	4	A	M	2	2.M.C	2.0	manu	0	70	manu
336	336	bird	manumanu	Fijian	1	4	A	M	1	1.M.C	2.0	manumanu	0	70	manumanu
#
