id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby
11,"Fijian (Bau)","Blust from: Capell (1968)",fij,fiji1243,"Capell, A. (1968). Lexicostatistical study of the languages of Choiseul Island, British Solomon Islands. Pacific Linguistics, Series A, Occasional Papers, No. 15.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, East Fijian","Simon Greenhill","Simon Greenhill"
latitude,longitude
-17.81145608856447282164,177.97851562500000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
45350,128,sky,lomālagi,,,1,1
45707,129,moon,vula,,,1,1
46064,130,star,kalokalo,,,28,
46421,131,cloud,ō,,,12,
46778,132,fog,kabukabu,,,"1, 54",1
47135,133,rain,uca,,,1,1
47492,134,thunder,kurukuru,,,"2, 63",1
47849,135,lightning,livaliva,,,35,
48206,136,wind,cagi,,,1,1
78964,137,"to blow",uvu-ca,,,"4,57",
78965,137,"to blow",liwa,,,36,
48920,138,warm,katakata,,,36,
49277,139,cold,batabatā,,,42,
49634,140,dry,maca,,,11,1
49991,141,wet,suasua,,,11,
50348,142,heavy,bībī,,,37,
50705,143,fire,bukawaqa,,,17,
51062,144,"to burn",vaka-caudre-va,,,,
51419,145,smoke,kubou,,,57,
51776,146,ash,dravu,,,67,?
52133,147,black,loaloa,,,40,
52490,148,white,vulavula,,,42,1?
52847,149,red,damudamu,,,,
53204,150,yellow,dromodromoa,,,46,
53561,151,green,karakarawa,,,"13, 52",
53918,152,small,lailai,,,32,
54275,153,big,levu,"(cognacy - John Lynch)",,10,
54632,154,short,lekaleka,,,8,
54989,155,long,balavu,"(cognacy - John Lynch)",,16,
55346,156,thin,mamare,,,13,
55703,157,thick,vāvaku,,,36,
56060,158,narrow,qiqō,,,27,
56417,159,wide,raba,,,51,1
56774,160,"painful, sick",rarawa,,,,
57131,161,"shy, ashamed",māduā,,,31,
57488,162,old,qase,,,53,
57845,163,new,vou,,,1,1
58202,164,good,vinaka,,,21,
58559,165,"bad, evil",cā,,,1,1
80721,166,"correct, true",dina,,,40,
80722,166,"correct, true",donu,,,8,
59273,167,night,bogi,,,1,1
59630,168,day,siga,,,23,
59987,169,year,yabaki,,,27,
60344,170,when?,ninaica,,,"1,43",1
60701,171,"to hide",vuni-a,,,1,1
61058,172,"to climb",cabe,,,2,
61415,173,at,e,,,1,
61772,174,"in, inside","e loɭma",,,1,1?
62129,175,above,"e cake",,,25,
62486,176,below,"e rā",,,8,
62843,177,this,oqō,,,17,
81428,178,that,oqori,,,,
81429,178,that,koyā,,,,
81430,178,that,ayā,,,,
63557,179,near,vōleka,,,38,
63914,180,far,yawa,,,4,
64271,181,where?,"e vei",,,3,
64628,182,I,iau,,,"1,21",1
64985,183,thou,iko,,,1,1
65342,184,he/she,koya,,,1,1
111914,185,we,e[da],,,1,1
111915,185,we,keda,,,1,1
111916,185,we,keimami,,,2,
66056,186,you,kemunī,,,1?,1
66413,187,they,ira,,,"1, 70",1
