ID	CONCEPT	TOKENS	DOCULECT	COGNACY
202	you	koutou	Maori	16
203	they	raaua	Maori	x
204	they	raatou	Maori	"1, 72"
205	what?	aha	Maori	1
206	who?	wai	Maori	"1,19"
207	other	atu	Maori	19
208	all	katoa	Maori	13
209	and	me	Maori	"2, 46"
210	and	hoki	Maori	
211	if	me (hemea)	Maori	5
212	how?	peehea	Maori	11
213	"no, not"	kaahore	Maori	11
214	to count	tatau	Maori	8
215	One	tahi	Maori	"14,48"
216	Two	rua	Maori	1
217	Three	toru	Maori	1
218	Four	whaa	Maori	"1,66"
219	Five	rima	Maori	1
220	Six	ono	Maori	1
221	Seven	whitu	Maori	1
222	Eight	waru	Maori	3
223	Nine	iwa	Maori	"5,66"
224	Ten	ngahuru	Maori	5
225	Ten	hangahuru	Maori	5
226	Ten	tekau	Maori	30?
227	Twenty	rua tekau	Maori	"3,4"
228	Fifty	rima tekau	Maori	
229	One Hundred	rau	Maori	2
230	One Thousand	mano	Maori	2
231	hand	liga-na	Fijian	1
232	left	i mawÄ«	Fijian	"1,59"
233	right	i matau	Fijian	"5,13"
234	leg/foot	yava-na	Fijian	25
235	to walk	lako	Fijian	1
236	road/path	sala	Fijian	1
237	to come	lako mai	Fijian	"1,85"
238	to turn	gole-a	Fijian	
239	to swim	qalo	Fijian	11
240	dirty	duka	Fijian	17
241	dust	kuvu ni qele	Fijian	24
242	skin	kuli-na	Fijian	1
243	back	daku-na	Fijian	12
244	belly	kete-na	Fijian	7
245	bone	sui-na	Fijian	52
246	intestines	wÄwÄ	Fijian	11
247	liver	yate-na	Fijian	1
248	breast	sucu-na	Fijian	1
249	shoulder	vÅ« ni taba-na	Fijian	
250	"to know, be knowledgeable"	kila-a	Fijian	18
251	to think	nanu-ma	Fijian	28
252	to fear	rere-vaka	Fijian	29
253	blood	drÄ	Fijian	1
254	head	ulu-na	Fijian	1
255	neck	domo-na	Fijian	46
256	hair	drau ni ulu-na	Fijian	40
257	nose	ucu-na	Fijian	1
258	to breathe	cegu-va	Fijian	40
259	"to sniff, smell"	regu-ca	Fijian	
260	mouth	gusu-na	Fijian	2
261	tooth	bati-na	Fijian	6
262	tongue	yame-na	Fijian	7
263	to laugh	dredre	Fijian	50
264	to cry	tagi	Fijian	1
265	to vomit	lua-ca	Fijian	8
266	to spit	kasivi-ta	Fijian	"19, 55"
267	to eat	kani-a	Fijian	1
268	to chew	mama-a	Fijian	1
269	to chew	namu-ta	Fijian	7?
270	to cook	[vaka] saqa-a	Fijian	2
271	to drink	gunu-va	Fijian	1
272	to bite	kati-a	Fijian	1
273	to suck	sucu-ma	Fijian	51
274	to suck	domi-ca	Fijian	50
275	ear	daliga-na	Fijian	1
276	to hear	rogo-ca	Fijian	1
277	eye	mata-na	Fijian	1
278	to see	rai-ca	Fijian	37
279	to yawn	[vaka]lÄmawa	Fijian	19
280	to sleep	moce	Fijian	10
281	to lie down	davo	Fijian	40
282	to dream	tadra-a	Fijian	16
283	to sit	dabe-ca	Fijian	62
284	to stand	tÅ«	Fijian	2
